#gene	segment	seg_length	gene_start	gene_end
PB2	NC_007373.1	2341	28	2307
PB1	NC_007372.1	2341	25	2298
PB1-F2	NC_007372.1	2341	119	391
PA	NC_007371.1	2233	25	2175
PA-X	NC_007371.1	2233	25	784
hemagglutinin	NC_007366.1	1762	30	1730
nucleocapsid	NC_007369.1	1566	46	1542
neuraminidase	NC_007368.1	1467	20	1429
M2	NC_007367.1	1027	26	1007
M1	NC_007367.1	1027	26	784
NEP	NC_007370.1	890	27	864
NS1	NC_007370.1	890	27	719
